Estado,coche,automovil,carro,auto,TOTAL,coche_FR,automovil_FR,carro_FR,auto_FR
Aguascalientes,191,31,395,452,1069,17.86716558,2.899906455,36.95042095,42.28250702
Baja California,86,72,1955,952,3065,2.805872757,2.349102773,63.78466558,31.06035889
Baja California Sur,67,27,502,306,902,7.427937916,2.993348115,55.654102,33.92461197
Campeche,96,69,216,221,602,15.94684385,11.46179402,35.88039867,36.71096346
Chiapas,191,66,528,497,1282,14.89859594,5.148205928,41.18564743,38.7675507
Chihuahua,94,42,1138,1412,2686,3.499627699,1.56366344,42.36783321,52.56887565
Ciudad de México,4936,1460,6092,13810,26298,18.76948817,5.551752985,23.16525972,52.51349913
Coahuila de Zaragoza,243,219,1271,999,2732,8.894582723,8.016105417,46.522694,36.56661786
Colima,78,11,174,160,423,18.43971631,2.600472813,41.13475177,37.8250591
Durango,95,65,452,301,913,10.40525739,7.119386637,49.50711939,32.96823658
México,1737,502,3753,6594,12586,13.80104878,3.988558716,29.81884634,52.39154616
Guanajuato,649,148,1109,1343,3249,19.97537704,4.555247769,34.13357956,41.33579563
Guerrero,178,61,438,380,1057,16.84011353,5.771050142,41.43803217,35.95080416
Hidalgo,244,50,494,536,1324,18.42900302,3.776435045,37.31117825,40.48338369
Jalisco,1648,467,3505,4159,9779,16.8524389,4.775539421,35.84211065,42.52991103
Michoacán de Ocampo,213,34,549,501,1297,16.42251349,2.621434079,42.32845027,38.62760216
Morelos,322,141,490,893,1846,17.44312026,7.638136511,26.54387866,48.37486457
Nayarit,81,20,213,133,447,18.12080537,4.474272931,47.65100671,29.75391499
Nuevo León,1106,238,6591,3223,11158,9.91217064,2.132998745,59.06972576,28.88510486
Oaxaca,182,64,312,496,1054,17.26755218,6.072106262,29.60151803,47.05882353
Puebla,1092,402,1229,2745,5468,19.97073884,7.351865399,22.47622531,50.20117045
Querétaro,800,166,1091,1809,3866,20.69322297,4.293843766,28.22038282,46.79255044
Quintana Roo,600,81,833,1473,2987,20.08704386,2.711750921,27.88751255,49.31369267
San Luis Potosí,535,81,791,719,2126,25.16462841,3.809971778,37.2060207,33.81937912
Sinaloa,141,85,2853,735,3814,3.696906135,2.228631358,74.80335606,19.27110645
Sonora,96,153,4054,1234,5537,1.733790861,2.763229185,73.21654325,22.2864367
Tabasco,397,65,826,537,1825,21.75342466,3.561643836,45.26027397,29.42465753
Tamaulipas,334,82,1416,602,2434,13.72226787,3.368940016,58.17584224,24.73294988
Tlaxcala,76,21,101,165,363,20.93663912,5.785123967,27.82369146,45.45454545
Veracruz de Ignacio de la Llave,827,121,1498,1618,4064,20.34940945,2.977362205,36.86023622,39.81299213
Yucatán,859,135,656,1561,3211,26.75179072,4.204297727,20.42977266,48.6141389
Zacatecas,108,49,277,323,757,14.2668428,6.472919419,36.59180978,42.66842801
Total,18302,5228,45802,50889,120221,15.22362982,4.348657888,38.09816921,42.32954309
