Estado,colibri,chupamirto,chuparrosa,chupaflor,TOTAL,colibri_FR,chupamirto_FR,chuparrosa_FR,chupaflor_FR
Aguascalientes,27,2,1,0,30,90,6.666666667,3.333333333,0
Baja California,95,0,1,1,97,97.93814433,0,1.030927835,1.030927835
Baja California Sur,22,0,1,0,23,95.65217391,0,4.347826087,0
Campeche,5,0,0,0,5,100,0,0,0
Chiapas,61,0,0,0,61,100,0,0,0
Chihuahua,35,0,0,0,35,100,0,0,0
Ciudad de México,520,6,4,0,530,98.11320755,1.132075472,0.754716981,0
Coahuila de Zaragoza,36,0,0,0,36,100,0,0,0
Colima,19,0,0,0,19,100,0,0,0
Durango,42,0,1,0,43,97.6744186,0,2.325581395,0
México,361,6,2,0,369,97.83197832,1.62601626,0.54200542,0
Guanajuato,88,2,5,0,95,92.63157895,2.105263158,5.263157895,0
Guerrero,52,2,1,0,55,94.54545455,3.636363636,1.818181818,0
Hidalgo,25,1,0,0,26,96.15384615,3.846153846,0,0
Jalisco,241,0,0,0,241,100,0,0,0
Michoacán de Ocampo,43,1,1,0,45,95.55555556,2.222222222,2.222222222,0
Morelos,52,2,0,0,54,96.2962963,3.703703704,0,0
Nayarit,3,0,1,0,4,75,0,25,0
Nuevo León,209,1,0,0,210,99.52380952,0.476190476,0,0
Oaxaca,75,0,0,0,75,100,0,0,0
Puebla,118,2,0,0,120,98.33333333,1.666666667,0,0
Querétaro,81,1,0,0,82,98.7804878,1.219512195,0,0
Quintana Roo,45,0,1,0,46,97.82608696,0,2.173913043,0
San Luis Potosí,46,0,1,0,47,97.87234043,0,2.127659574,0
Sinaloa,55,0,11,0,66,83.33333333,0,16.66666667,0
Sonora,133,0,5,0,138,96.37681159,0,3.623188406,0
Tabasco,30,0,0,0,30,100,0,0,0
Tamaulipas,31,3,4,0,38,81.57894737,7.894736842,10.52631579,0
Tlaxcala,30,0,0,0,30,100,0,0,0
Veracruz de Ignacio de la Llave,89,0,1,0,90,98.88888889,0,1.111111111,0
Yucatán,72,0,1,0,73,98.63013699,0,1.369863014,0
Zacatecas,52,0,0,0,52,100,0,0,0
Total,2793,29,42,1,2865,97.48691099,1.012216405,1.465968586,0.034904014
