Estado,comezon,picazon,rasquera,rasquiña,TOTAL,comezon_FR,picazon_FR,rasquera_FR,rasquiña_FR
Aguascalientes,19,1,0,0,20,95,5,0,0
Baja California,35,4,1,0,40,87.5,10,2.5,0
Baja California Sur,7,0,0,0,7,100,0,0,0
Campeche,9,8,0,0,17,52.94117647,47.05882353,0,0
Chiapas,12,3,0,0,15,80,20,0,0
Chihuahua,49,2,0,0,51,96.07843137,3.921568627,0,0
Ciudad de México,283,17,0,1,301,94.01993355,5.647840532,0,0.332225914
Coahuila de Zaragoza,53,5,0,1,59,89.83050847,8.474576271,0,1.694915254
Colima,5,0,0,0,5,100,0,0,0
Durango,19,2,0,0,21,90.47619048,9.523809524,0,0
México,174,11,0,0,185,94.05405405,5.945945946,0,0
Guanajuato,63,3,0,0,66,95.45454545,4.545454545,0,0
Guerrero,12,4,1,9,26,46.15384615,15.38461538,3.846153846,34.61538462
Hidalgo,29,6,0,0,35,82.85714286,17.14285714,0,0
Jalisco,141,14,0,0,155,90.96774194,9.032258065,0,0
Michoacán de Ocampo,24,2,0,0,26,92.30769231,7.692307692,0,0
Morelos,32,2,0,0,34,94.11764706,5.882352941,0,0
Nayarit,4,0,0,0,4,100,0,0,0
Nuevo León,244,12,0,1,257,94.94163424,4.6692607,0,0.389105058
Oaxaca,8,1,0,0,9,88.88888889,11.11111111,0,0
Puebla,51,5,0,1,57,89.47368421,8.771929825,0,1.754385965
Querétaro,59,4,0,0,63,93.65079365,6.349206349,0,0
Quintana Roo,39,19,0,1,59,66.10169492,32.20338983,0,1.694915254
San Luis Potosí,36,3,0,0,39,92.30769231,7.692307692,0,0
Sinaloa,53,0,2,0,55,96.36363636,0,3.636363636,0
Sonora,59,9,12,0,80,73.75,11.25,15,0
Tabasco,30,39,0,1,70,42.85714286,55.71428571,0,1.428571429
Tamaulipas,55,4,0,0,59,93.22033898,6.779661017,0,0
Tlaxcala,9,0,0,0,9,100,0,0,0
Veracruz de Ignacio de la Llave,63,17,0,3,83,75.90361446,20.48192771,0,3.614457831
Yucatán,40,20,0,0,60,66.66666667,33.33333333,0,0
Zacatecas,17,0,0,0,17,100,0,0,0
Total,1733,217,16,18,1984,87.34879032,10.9375,0.806451613,0.907258065
