Estado,retrete,escusado,inodoro,WC,TOTAL,retrete_FR,escusado_FR,inodoro_FR,WC_FR
Aguascalientes,2,7,3,12,24,8.333333333,29.16666667,12.5,50
Baja California,7,23,2,41,73,9.589041096,31.50684932,2.739726027,56.16438356
Baja California Sur,2,1,7,8,18,11.11111111,5.555555556,38.88888889,44.44444444
Campeche,1,1,5,6,13,7.692307692,7.692307692,38.46153846,46.15384615
Chiapas,6,4,5,16,31,19.35483871,12.90322581,16.12903226,51.61290323
Chihuahua,11,10,15,11,47,23.40425532,21.27659574,31.91489362,23.40425532
Ciudad de México,103,175,64,213,555,18.55855856,31.53153153,11.53153153,38.37837838
Coahuila de Zaragoza,15,16,4,9,44,34.09090909,36.36363636,9.090909091,20.45454545
Colima,0,3,1,4,8,0,37.5,12.5,50
Durango,4,5,7,3,19,21.05263158,26.31578947,36.84210526,15.78947368
México,48,75,44,128,295,16.27118644,25.42372881,14.91525424,43.38983051
Guanajuato,3,18,16,23,60,5,30,26.66666667,38.33333333
Guerrero,4,4,7,10,25,16,16,28,40
Hidalgo,4,7,3,10,24,16.66666667,29.16666667,12.5,41.66666667
Jalisco,32,68,33,81,214,14.95327103,31.77570093,15.42056075,37.85046729
Michoacán de Ocampo,3,4,4,14,25,12,16,16,56
Morelos,9,16,12,25,62,14.51612903,25.80645161,19.35483871,40.32258065
Nayarit,1,6,5,7,19,5.263157895,31.57894737,26.31578947,36.84210526
Nuevo León,30,41,49,48,168,17.85714286,24.4047619,29.16666667,28.57142857
Oaxaca,4,10,4,7,25,16,40,16,28
Puebla,12,22,18,46,98,12.24489796,22.44897959,18.36734694,46.93877551
Querétaro,13,37,12,32,94,13.82978723,39.36170213,12.76595745,34.04255319
Quintana Roo,13,12,16,39,80,16.25,15,20,48.75
San Luis Potosí,3,7,8,13,31,9.677419355,22.58064516,25.80645161,41.93548387
Sinaloa,8,17,7,21,53,15.09433962,32.0754717,13.20754717,39.62264151
Sonora,5,24,6,25,60,8.333333333,40,10,41.66666667
Tabasco,1,9,7,10,27,3.703703704,33.33333333,25.92592593,37.03703704
Tamaulipas,8,8,6,16,38,21.05263158,21.05263158,15.78947368,42.10526316
Tlaxcala,4,0,1,2,7,57.14285714,0,14.28571429,28.57142857
Veracruz de Ignacio de la Llave,26,19,22,30,97,26.80412371,19.58762887,22.68041237,30.92783505
Yucatán,6,16,38,11,71,8.450704225,22.53521127,53.52112676,15.49295775
Zacatecas,5,0,2,7,14,35.71428571,0,14.28571429,50
Total,393,665,433,928,2419,16.2463828,27.49069864,17.89995866,38.3629599
