Estado,migaja,borona,morona,morusa,TOTAL,migaja_FR,borona_FR,morona_FR,morusa_FR
Aguascalientes,13,2,0,0,15,86.66666667,13.33333333,0,0
Baja California,35,1,1,0,37,94.59459459,2.702702703,2.702702703,0
Baja California Sur,9,0,1,0,10,90,0,10,0
Campeche,8,0,0,0,8,100,0,0,0
Chiapas,24,0,1,0,25,96,0,4,0
Chihuahua,30,1,3,0,34,88.23529412,2.941176471,8.823529412,0
Ciudad de México,499,20,37,4,560,89.10714286,3.571428571,6.607142857,0.714285714
Coahuila de Zaragoza,38,0,1,1,40,95,0,2.5,2.5
Colima,7,0,0,1,8,87.5,0,0,12.5
Durango,11,0,0,0,11,100,0,0,0
México,256,6,8,2,272,94.11764706,2.205882353,2.941176471,0.735294118
Guanajuato,57,2,1,5,65,87.69230769,3.076923077,1.538461538,7.692307692
Guerrero,26,2,2,0,30,86.66666667,6.666666667,6.666666667,0
Hidalgo,29,1,2,0,32,90.625,3.125,6.25,0
Jalisco,134,6,4,12,156,85.8974359,3.846153846,2.564102564,7.692307692
Michoacán de Ocampo,20,7,1,0,28,71.42857143,25,3.571428571,0
Morelos,37,1,1,1,40,92.5,2.5,2.5,2.5
Nayarit,10,0,0,0,10,100,0,0,0
Nuevo León,199,2,2,2,205,97.07317073,0.975609756,0.975609756,0.975609756
Oaxaca,29,1,1,0,31,93.5483871,3.225806452,3.225806452,0
Puebla,76,1,2,6,85,89.41176471,1.176470588,2.352941176,7.058823529
Querétaro,106,2,3,0,111,95.4954955,1.801801802,2.702702703,0
Quintana Roo,61,3,1,1,66,92.42424242,4.545454545,1.515151515,1.515151515
San Luis Potosí,31,1,0,0,32,96.875,3.125,0,0
Sinaloa,23,0,0,0,23,100,0,0,0
Sonora,50,0,0,0,50,100,0,0,0
Tabasco,37,0,0,0,37,100,0,0,0
Tamaulipas,53,1,0,0,54,98.14814815,1.851851852,0,0
Tlaxcala,4,0,0,0,4,100,0,0,0
Veracruz de Ignacio de la Llave,78,14,1,0,93,83.87096774,15.05376344,1.075268817,0
Yucatán,51,4,4,1,60,85,6.666666667,6.666666667,1.666666667
Zacatecas,17,0,0,1,18,94.44444444,0,0,5.555555556
Total,2058,78,77,37,2250,91.46666667,3.466666667,3.422222222,1.644444444
