Estado,pavo,guajolote,totole,totol,chompipe,TOTAL,pavo_FR,guajolote_FR,totole_FR,totol_FR,chompipe_FR
Aguascalientes,30,4,0,1,1,36,83.33333333,11.11111111,0,2.777777778,2.777777778
Baja California,144,18,0,2,0,164,87.80487805,10.97560976,0,1.219512195,0
Baja California Sur,34,10,0,0,0,44,77.27272727,22.72727273,0,0,0
Campeche,52,4,0,0,0,56,92.85714286,7.142857143,0,0,0
Chiapas,34,5,0,0,0,39,87.17948718,12.82051282,0,0,0
Chihuahua,102,18,0,1,0,121,84.29752066,14.87603306,0,0.826446281,0
Ciudad de México,827,275,0,14,1,1117,74.03760072,24.61951656,0,1.253357207,0.089525515
Coahuila de Zaragoza,79,14,0,0,0,93,84.94623656,15.05376344,0,0,0
Colima,9,8,0,0,0,17,52.94117647,47.05882353,0,0,0
Durango,19,2,0,0,0,21,90.47619048,9.523809524,0,0,0
México,372,112,0,4,2,490,75.91836735,22.85714286,0,0.816326531,0.408163265
Guanajuato,87,25,0,0,0,112,77.67857143,22.32142857,0,0,0
Guerrero,49,17,0,0,0,66,74.24242424,25.75757576,0,0,0
Hidalgo,36,90,0,0,0,126,28.57142857,71.42857143,0,0,0
Jalisco,242,72,2,2,0,318,76.10062893,22.64150943,0.628930818,0.628930818,0
Michoacán de Ocampo,38,17,0,5,0,60,63.33333333,28.33333333,0,8.333333333,0
Morelos,71,26,0,18,0,115,61.73913043,22.60869565,0,15.65217391,0
Nayarit,18,2,0,0,0,20,90,10,0,0,0
Nuevo León,364,51,2,3,0,420,86.66666667,12.14285714,0.476190476,0.714285714,0
Oaxaca,41,72,1,18,0,132,31.06060606,54.54545455,0.757575758,13.63636364,0
Puebla,107,150,2,4,0,263,40.68441065,57.03422053,0.760456274,1.520912548,0
Querétaro,95,104,0,2,0,201,47.26368159,51.74129353,0,0.995024876,0
Quintana Roo,159,16,0,1,0,176,90.34090909,9.090909091,0,0.568181818,0
San Luis Potosí,41,25,0,0,0,66,62.12121212,37.87878788,0,0,0
Sinaloa,62,12,0,0,0,74,83.78378378,16.21621622,0,0,0
Sonora,172,21,0,0,0,193,89.11917098,10.88082902,0,0,0
Tabasco,186,15,0,6,0,207,89.85507246,7.246376812,0,2.898550725,0
Tamaulipas,83,15,0,0,0,98,84.69387755,15.30612245,0,0,0
Tlaxcala,8,8,0,0,0,16,50,50,0,0,0
Veracruz de Ignacio de la Llave,157,40,9,24,0,230,68.26086957,17.39130435,3.913043478,10.43478261,0
Yucatán,290,16,0,0,0,306,94.77124183,5.22875817,0,0,0
Zacatecas,28,10,0,0,0,38,73.68421053,26.31578947,0,0,0
Total,4036,1274,16,105,4,5435,74.25942962,23.44066237,0.294388224,1.931922723,0.073597056
