Estado,aguacero,chubasco,tormenta,aguacero_FR,chubasco_FR,tormenta_FR
Aguascalientes,8,2,136,5.47945205479452,1.36986301369863,93.15068493150685
Baja California,12,12,291,3.8095238095238098,3.8095238095238098,92.38095238095238
Baja California Sur,16,4,383,3.970223325062035,0.9925558312655087,95.03722084367246
Campeche,29,31,190,11.600000000000001,12.4,76.0
Chiapas,92,6,274,24.731182795698924,1.6129032258064515,73.65591397849462
Chihuahua,18,18,328,4.945054945054945,4.945054945054945,90.10989010989012
Ciudad de México,405,48,2333,14.53697056712132,1.7229002153625268,83.74012921751616
Coahuila,18,16,371,4.444444444444445,3.950617283950617,91.60493827160494
Colima,6,1,107,5.263157894736842,0.8771929824561403,93.85964912280701
Durango,13,3,139,8.38709677419355,1.935483870967742,89.6774193548387
Estado de México,173,158,1830,8.005552984729292,7.3114298935677935,84.68301712170292
Guanajuato,33,8,385,7.746478873239436,1.8779342723004695,90.3755868544601
Guerrero,26,6,248,9.285714285714286,2.142857142857143,88.57142857142857
Hidalgo,34,21,193,13.709677419354838,8.46774193548387,77.82258064516128
Jalisco,103,29,1555,6.1055127445168935,1.7190278601066984,92.17545939537641
Michoacán,9,3,188,4.5,1.5,94.0
Morelos,33,8,267,10.714285714285714,2.5974025974025974,86.68831168831169
Nayarit,1,16,102,0.8403361344537815,13.445378151260504,85.71428571428571
Nuevo León,188,144,1688,9.306930693069306,7.128712871287128,83.56435643564356
Oaxaca,35,10,260,11.475409836065573,3.278688524590164,85.24590163934425
Puebla,115,11,607,15.688949522510232,1.5006821282401093,82.81036834924966
Querétaro,44,47,536,7.017543859649122,7.496012759170653,85.48644338118022
Quintana Roo,55,92,986,4.854368932038835,8.120035304501325,87.02559576345983
San Luis Potosí,17,11,227,6.666666666666667,4.313725490196078,89.01960784313725
Sinaloa,60,29,319,14.705882352941178,7.107843137254902,78.18627450980392
Sonora,38,20,622,5.588235294117648,2.941176470588235,91.47058823529412
Tabasco,69,14,383,14.806866952789699,3.004291845493562,82.18884120171673
Tamaulipas,28,38,522,4.761904761904762,6.462585034013606,88.77551020408163
Tlaxcala,7,0,72,8.860759493670885,0.0,91.13924050632912
Veracruz,179,14,956,15.578764142732812,1.2184508268059182,83.20278503046127
Yucatán,79,19,899,7.923771313941826,1.9057171514543632,90.17051153460382
Zacatecas,11,3,128,7.746478873239436,2.112676056338028,90.14084507042254
Total,1954,842,17525
