Estado,Ocurrencias
Aguascalientes,452
Baja California,952
Baja California Sur,306
Campeche,221
Chiapas,497
Chihuahua,1412
Ciudad de México,13810
Coahuila,999
Colima,160
Durango,301
Estado de México,6594
Guanajuato,1343
Guerrero,380
Hidalgo,536
Jalisco,4159
Michoacán,501
Morelos,893
Nayarit,133
Nuevo León,3223
Oaxaca,496
Puebla,2745
Querétaro,1809
Quintana Roo,1473
San Luis Potosí,719
Sinaloa,735
Sonora,1234
Tabasco,537
Tamaulipas,602
Tlaxcala,165
Veracruz,1618
Yucatán,1561
Zacatecas,323
Total,50889
