Estado,brasier,chichero
Aguascalientes,7,0
Baja California,51,1
Baja California Sur,13,0
Campeche,10,3
Chiapas,22,0
Chihuahua,28,8
Ciudad de México,249,11
Coahuila de Zaragoza,26,1
Colima,8,0
Durango,5,1
México,135,3
Guanajuato,22,2
Guerrero,9,1
Hidalgo,24,1
Jalisco,97,3
Michoacán de Ocampo,25,1
Morelos,10,0
Nayarit,9,0
Nuevo León,111,13
Oaxaca,15,1
Puebla,50,2
Querétaro,41,3
Quintana Roo,50,6
San Luis Potosí,14,1
Sinaloa,28,0
Sonora,45,0
Tabasco,27,0
Tamaulipas,34,1
Tlaxcala,9,0
Veracruz de Ignacio de la Llave,56,2
Yucatán,46,0
Zacatecas,8,1
Total,1284,66
