Estado,colibri,chupamirto,chuparrosa,chupaflor,colibri_FR,chupamirto_FR,chuparrosa_FR,chupaflor_FR
Aguascalientes,27,2,1,0,90.0,6.666666666666667,3.3333333333333335,0.0
Baja California,95,0,1,1,97.9381443298969,0.0,1.0309278350515463,1.0309278350515463
Baja California Sur,22,0,1,0,95.65217391304348,0.0,4.3478260869565215,0.0
Campeche,5,0,0,0,100.0,0.0,0.0,0.0
Chiapas,61,0,0,0,100.0,0.0,0.0,0.0
Chihuahua,35,0,0,0,100.0,0.0,0.0,0.0
Ciudad de México,520,6,4,0,98.11320754716981,1.1320754716981132,0.7547169811320755,0.0
Coahuila,36,0,0,0,100.0,0.0,0.0,0.0
Colima,19,0,0,0,100.0,0.0,0.0,0.0
Durango,42,0,1,0,97.67441860465115,0.0,2.3255813953488373,0.0
Estado de México,361,6,2,0,97.8319783197832,1.6260162601626018,0.5420054200542005,0.0
Guanajuato,88,2,5,0,92.63157894736842,2.1052631578947367,5.263157894736842,0.0
Guerrero,52,2,1,0,94.54545454545455,3.6363636363636362,1.8181818181818181,0.0
Hidalgo,25,1,0,0,96.15384615384616,3.8461538461538463,0.0,0.0
Jalisco,241,0,0,0,100.0,0.0,0.0,0.0
Michoacán,43,1,1,0,95.55555555555556,2.2222222222222223,2.2222222222222223,0.0
Morelos,52,2,0,0,96.29629629629629,3.7037037037037033,0.0,0.0
Nayarit,3,0,1,0,75.0,0.0,25.0,0.0
Nuevo León,209,1,0,0,99.52380952380952,0.4761904761904762,0.0,0.0
Oaxaca,75,0,0,0,100.0,0.0,0.0,0.0
Puebla,118,2,0,0,98.33333333333333,1.6666666666666667,0.0,0.0
Querétaro,81,1,0,0,98.78048780487805,1.2195121951219512,0.0,0.0
Quintana Roo,45,0,1,0,97.82608695652173,0.0,2.1739130434782608,0.0
San Luis Potosí,46,0,1,0,97.87234042553192,0.0,2.127659574468085,0.0
Sinaloa,55,0,11,0,83.33333333333334,0.0,16.666666666666664,0.0
Sonora,133,0,5,0,96.37681159420289,0.0,3.6231884057971016,0.0
Tabasco,30,0,0,0,100.0,0.0,0.0,0.0
Tamaulipas,31,3,4,0,81.57894736842105,7.894736842105263,10.526315789473683,0.0
Tlaxcala,30,0,0,0,100.0,0.0,0.0,0.0
Veracruz,89,0,1,0,98.88888888888889,0.0,1.1111111111111112,0.0
Yucatán,72,0,1,0,98.63013698630137,0.0,1.36986301369863,0.0
Zacatecas,52,0,0,0,100.0,0.0,0.0,0.0
Total,2793,29,42,1
