Estado,colibri,chupamirto,chuparrosa,chupaflor
Aguascalientes,27,2,1,0
Baja California,95,0,1,1
Baja California Sur,22,0,1,0
Campeche,5,0,0,0
Chiapas,61,0,0,0
Chihuahua,35,0,0,0
Ciudad de México,520,6,4,0
Coahuila de Zaragoza,36,0,0,0
Colima,19,0,0,0
Durango,42,0,1,0
México,361,6,2,0
Guanajuato,88,2,5,0
Guerrero,52,2,1,0
Hidalgo,25,1,0,0
Jalisco,241,0,0,0
Michoacán de Ocampo,43,1,1,0
Morelos,52,2,0,0
Nayarit,3,0,1,0
Nuevo León,209,1,0,0
Oaxaca,75,0,0,0
Puebla,118,2,0,0
Querétaro,81,1,0,0
Quintana Roo,45,0,1,0
San Luis Potosí,46,0,1,0
Sinaloa,55,0,11,0
Sonora,133,0,5,0
Tabasco,30,0,0,0
Tamaulipas,31,3,4,0
Tlaxcala,30,0,0,0
Veracruz de Ignacio de la Llave,89,0,1,0
Yucatán,72,0,1,0
Zacatecas,52,0,0,0
Total,2793,29,42,1
