Estado,comezon,picazon,rasquera,rasquiña
Aguascalientes,19,1,0,0
Baja California,35,4,1,0
Baja California Sur,7,0,0,0
Campeche,9,8,0,0
Chiapas,12,3,0,0
Chihuahua,49,2,0,0
Ciudad de México,283,17,0,1
Coahuila de Zaragoza,53,5,0,1
Colima,5,0,0,0
Durango,19,2,0,0
México,174,11,0,0
Guanajuato,63,3,0,0
Guerrero,12,4,1,9
Hidalgo,29,6,0,0
Jalisco,141,14,0,0
Michoacán de Ocampo,24,2,0,0
Morelos,32,2,0,0
Nayarit,4,0,0,0
Nuevo León,244,12,0,1
Oaxaca,8,1,0,0
Puebla,51,5,0,1
Querétaro,59,4,0,0
Quintana Roo,39,19,0,1
San Luis Potosí,36,3,0,0
Sinaloa,53,0,2,0
Sonora,59,9,12,0
Tabasco,30,39,0,1
Tamaulipas,55,4,0,0
Tlaxcala,9,0,0,0
Veracruz de Ignacio de la Llave,63,17,0,3
Yucatán,40,20,0,0
Zacatecas,17,0,0,0
Total,1733,217,16,18
