Estado,habitacion,alcoba,dormitorio,recamara
Aguascalientes,76,7,3,38
Baja California,191,6,9,104
Baja California Sur,70,3,1,25
Campeche,80,2,5,10
Chiapas,221,2,2,54
Chihuahua,127,4,2,72
Ciudad de México,2134,56,68,791
Coahuila de Zaragoza,162,8,13,41
Colima,30,1,2,32
Durango,84,1,2,27
México,995,29,37,398
Guanajuato,327,8,7,80
Guerrero,184,7,5,80
Hidalgo,114,5,2,218
Jalisco,1098,18,25,247
Michoacán de Ocampo,134,1,1,52
Morelos,146,5,0,86
Nayarit,58,0,1,18
Nuevo León,712,14,16,290
Oaxaca,166,2,12,42
Puebla,387,12,23,225
Querétaro,321,5,7,160
Quintana Roo,587,10,8,243
San Luis Potosí,162,2,5,399
Sinaloa,224,5,15,389
Sonora,184,2,8,119
Tabasco,159,9,5,117
Tamaulipas,217,4,6,104
Tlaxcala,55,2,0,22
Veracruz de Ignacio de la Llave,505,18,12,233
Yucatán,370,4,5,80
Zacatecas,90,1,0,25
Total,10370,253,307,4821
