Estado,migaja,borona,morona,morusa
Aguascalientes,13,2,0,0
Baja California,35,1,1,0
Baja California Sur,9,0,1,0
Campeche,8,0,0,0
Chiapas,24,0,1,0
Chihuahua,30,1,3,0
Ciudad de México,499,20,37,4
Coahuila de Zaragoza,38,0,1,1
Colima,7,0,0,1
Durango,11,0,0,0
México,256,6,8,2
Guanajuato,57,2,1,5
Guerrero,26,2,2,0
Hidalgo,29,1,2,0
Jalisco,134,6,4,12
Michoacán de Ocampo,20,7,1,0
Morelos,37,1,1,1
Nayarit,10,0,0,0
Nuevo León,199,2,2,2
Oaxaca,29,1,1,0
Puebla,76,1,2,6
Querétaro,106,2,3,0
Quintana Roo,61,3,1,1
San Luis Potosí,31,1,0,0
Sinaloa,23,0,0,0
Sonora,50,0,0,0
Tabasco,37,0,0,0
Tamaulipas,53,1,0,0
Tlaxcala,4,0,0,0
Veracruz de Ignacio de la Llave,78,14,1,0
Yucatán,51,4,4,1
Zacatecas,17,0,0,1
Total,2058,78,77,37
