Estado,pavo,guajolote,totole,totol,chompipe
Aguascalientes,30,4,0,1,1
Baja California,144,18,0,2,0
Baja California Sur,34,10,0,0,0
Campeche,52,4,0,0,0
Chiapas,34,5,0,0,0
Chihuahua,102,18,0,1,0
Ciudad de México,827,275,0,14,1
Coahuila de Zaragoza,79,14,0,0,0
Colima,9,8,0,0,0
Durango,19,2,0,0,0
México,372,112,0,4,2
Guanajuato,87,25,0,0,0
Guerrero,49,17,0,0,0
Hidalgo,36,90,0,0,0
Jalisco,242,72,2,2,0
Michoacán de Ocampo,38,17,0,5,0
Morelos,71,26,0,18,0
Nayarit,18,2,0,0,0
Nuevo León,364,51,2,3,0
Oaxaca,41,72,1,18,0
Puebla,107,150,2,4,0
Querétaro,95,104,0,2,0
Quintana Roo,159,16,0,1,0
San Luis Potosí,41,25,0,0,0
Sinaloa,62,12,0,0,0
Sonora,172,21,0,0,0
Tabasco,186,15,0,6,0
Tamaulipas,83,15,0,0,0
Tlaxcala,8,8,0,0,0
Veracruz de Ignacio de la Llave,157,40,9,24,0
Yucatán,290,16,0,0,0
Zacatecas,28,10,0,0,0
Total,4036,1274,16,105,4
