Estado,queso Oaxaca,quesillo,queso de hebra
Aguascalientes,0,5,0
Baja California,22,16,0
Baja California Sur,3,3,1
Campeche,4,3,7
Chiapas,11,40,3
Chihuahua,6,7,0
Ciudad de México,182,233,7
Coahuila de Zaragoza,12,5,0
Colima,4,2,0
Durango,2,2,0
México,76,105,5
Guanajuato,19,22,0
Guerrero,18,5,0
Hidalgo,15,6,0
Jalisco,40,32,5
Michoacán de Ocampo,6,5,1
Morelos,19,12,2
Nayarit,0,4,0
Nuevo León,22,34,13
Oaxaca,45,259,5
Puebla,25,93,4
Querétaro,28,19,5
Quintana Roo,25,21,9
San Luis Potosí,1,3,0
Sinaloa,23,4,1
Sonora,17,14,0
Tabasco,7,10,22
Tamaulipas,10,5,3
Tlaxcala,1,8,1
Veracruz de Ignacio de la Llave,18,20,57
Yucatán,23,73,17
Zacatecas,1,11,0
Total,685,1081,168
